,Ġsleep,Ġduring,way,ency,.,Ġthe,al,Ġo,Ġupper,Ġair,Ġcontributes,Ġpat,Ġmaintenance,Ġstudies,aryn,Ġof,Ġthe,Ġto,Ġsleep,ge,Ġloud,way,ĠPrevious,Ġpresence,Ġupper,Ġan,Ġair,Ġsupport,Ġthat,Ġmechanism,orers,Ġin,Ġreflex,Ġtopical,Ġanesthesia,ive,Ġap,Ġof,nea,roph,.,Ġfollowing,Ġsn,struct,Ob
Ġsleep,0.0029391774,0.0012762524,0.00025356328,0.0014196137,0.0,0.00056697446,0.0034621907,0.00034590613,0.00074655504,0.00035767347,0.0003221982,0.022280943,0.0018125095,0.00109662,0.0025933874,0.001459898,0.0009089999,0.0005113724,0.0020510599,0.0011897796,0.00017601007,0.00032932815,0.0036598912,0.00079500925,0.00044295035,0.000534715,9.288446e-05,0.0010990695,0.0011245576,0.0014301707,0.0014232779,0.00039143744,0.0011616244,0.00050148234,0.0010083133,0.0034925474,0.0071243136,0.0006884147,0.0012831,0.06102568,0.004738553,0.0017815457,0.014857965,0.0020277917,0.8432148
Ġduring,0.0,0.02758336,0.0017318717,0.014016231,0.0,0.002719985,0.005154926,0.0046130097,0.04617353,0.0041874177,0.0022280002,0.11674433,0.005309988,0.0072771404,0.010197204,0.011274173,0.0010829057,0.009671249,0.0045051426,0.01198984,0.0036380694,0.0090787625,0.003489799,0.00408157,0.02357482,0.009409343,0.0051211515,0.0038081338,0.0055336757,0.009734424,0.010320405,0.0026678666,0.019793361,0.005583205,0.017766494,0.0072672428,0.09914571,0.012867721,0.010317386,0.16709189,0.0058878763,0.00914856,0.13717732,0.04197405,0.089060776
way,0.0,0.0,0.034206666,0.0,0.0,0.006108637,0.0014056423,0.0006063945,0.012773789,0.01505428,0.03603865,0.0,0.026563657,0.0021676542,0.0030287376,0.052917134,0.0036101942,0.040364247,0.0014794077,0.001966049,0.0011631805,0.03632838,0.0013138513,0.007921439,0.006975885,0.012535488,0.015835777,0.023744877,0.09438811,0.11748078,0.0059559373,0.0017484376,0.18789053,0.0106298765,0.019355444,0.009857863,0.012218468,0.06567484,0.015663149,0.012407787,0.0037240493,0.054297023,0.006732283,0.019607775,0.018257651
ency,0.0,0.0,0.00073283137,0.011731337,0.0,0.0029102245,0.001537096,0.0006069837,0.0016130204,0.0017599564,0.0026711768,0.006596845,0.0036695427,0.010527818,0.002682266,0.0043400917,0.0075005903,0.0016665993,0.00070837594,0.0007042925,0.0009887047,0.001642903,0.006365426,0.0017365508,0.0005171788,0.0011719445,0.00069862005,0.0032300905,0.009843162,0.0059183016,0.009036139,0.009442927,0.0023389107,0.0029269536,0.008344345,0.0019045371,0.0074591283,0.0024388016,0.001532411,0.012756915,0.107349806,0.005656303,0.032320432,0.0029330538,0.69948745
.,0.004432408,0.009292569,0.00055416726,0.016187973,0.056815784,0.0011439045,0.0009725372,0.0008852004,0.0072801933,0.0013512345,0.0076718405,0.004862019,0.0039973115,0.008883634,0.01050964,0.005002105,0.010988844,0.0046947724,0.0024026332,0.008986769,0.0018395312,0.011500266,0.008414456,0.012757141,0.008177521,0.011926545,0.0013325113,0.009388024,0.018030852,0.013357902,0.0155839855,0.009491763,0.013271146,0.004907076,0.025663713,0.007486558,0.008989125,0.014229006,0.0050754384,0.028145155,0.08878765,0.0091535915,0.06197383,0.022529433,0.42107233
Ġthe,0.0,0.0,0.0,0.0,0.0,0.008952247,0.0023005488,0.0009354372,0.0,0.0,0.0040762983,0.0,0.0,0.0064468244,0.0056553264,0.0,0.005749861,0.024093997,0.0034652865,0.0050958125,0.003505711,0.018547975,0.0061104046,0.018379934,0.020593219,0.034332793,0.0030869932,0.0164167,0.011323858,0.017086234,0.02910094,0.005924986,0.034258515,0.0025579801,0.022232743,0.012447567,0.01566131,0.049192928,0.021811988,0.01936634,0.020849897,0.01750056,0.19035044,0.057734802,0.2848535
al,0.0,0.0,0.0,0.0,0.0,0.0,0.026271071,0.01588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0055603595,0.0,0.0,0.0,0.010867182,0.017654043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09047895,0.0,0.031965632,0.078613706,0.0,0.066083044,0.18114102,0.0,0.038938448,0.0,0.35825703,0.0782849
Ġo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024749735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049164123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643883,0.0,0.013598651,0.042546492,0.0,0.07033135,0.0,0.0,0.49896052,0.0,0.069839604,0.010668949
Ġupper,0.0,0.0,0.0,0.0,0.0,0.010109229,0.0012924224,0.00044964498,0.100447804,0.0,0.009211583,0.0,0.025891697,0.0013838522,0.0022186637,0.046841267,0.0019930778,0.039346706,0.0012091793,0.012058748,0.0010899382,0.024260964,0.0021495956,0.011182983,0.026636686,0.018553881,0.07330699,0.012393368,0.029356163,0.05468123,0.020978848,0.00366842,0.16284147,0.0003550452,0.018130012,0.014528124,0.035183184,0.04473583,0.018827874,0.0028071234,0.0132075455,0.010807382,0.05498996,0.06275169,0.03012171
Ġair,0.0,0.0,0.0,0.0,0.0,0.013911286,0.00048212436,0.0009162709,0.0042527015,0.17737982,0.034775596,0.0,0.07103319,0.0030979489,0.00053233077,0.037801854,0.0037284796,0.02930399,0.0007708662,0.00058386085,0.0008064084,0.009069473,0.002246514,0.01866177,0.0013961267,0.008682639,0.023783939,0.009553051,0.12632954,0.14096257,0.009301161,0.0027595358,0.14139046,0.00055871165,0.0109474305,0.0025762392,0.01064378,0.022961248,0.008767211,0.007610266,0.019376904,0.007928089,0.009542661,0.014871587,0.010702292
Ġcontributes,0.0,0.0,0.0,0.0,0.0,0.0,0.0016967129,0.0069808885,0.0,0.0,0.049331322,0.0,0.0,0.042304587,0.007674449,0.0,0.024658963,0.0,0.0016944879,0.0030465375,0.0032609266,0.0052731396,0.01611365,0.02216209,0.008205744,0.010391587,0.003545063,0.0146533875,0.025237542,0.030555852,0.052090228,0.030246502,0.01937152,0.00391624,0.032634307,0.010899431,0.016330311,0.01391914,0.022229629,0.0058363257,0.2908466,0.01263597,0.043605108,0.012150859,0.15650095
Ġpat,0.0,0.0,0.0013071276,0.0,0.0,0.0150743965,0.00085509865,0.00036371444,0.02601118,0.0025308498,0.037703473,0.07345994,0.070539,0.02491485,0.0012471426,0.059094016,0.008509723,0.049298316,0.00016642449,0.0006471429,0.0035323775,0.0009409411,0.0018452985,0.055574503,0.0077854292,0.020291748,0.00024976078,0.0772671,0.0450561,0.10778996,0.008409546,0.0057042446,0.026405612,0.026315713,0.020282254,0.022720756,0.007721083,0.07652166,0.001543537,0.0049669896,0.013982447,0.051378194,0.0036580474,0.027430486,0.010903908
Ġmaintenance,0.0,0.0,0.0,0.0,0.0,0.022526586,0.0016902026,0.0018887582,0.0,0.0,0.018935421,0.0,0.020975253,0.017906198,0.0034262664,0.0,0.027165787,0.03527399,0.0012067762,0.004360606,0.0019208451,0.014429777,0.011939261,0.012719505,0.004361779,0.027672492,0.016166719,0.042257503,0.05429683,0.042728126,0.015327376,0.023228886,0.04557437,0.009033509,0.020374196,0.0054148706,0.038687088,0.051001813,0.0115922,0.016395828,0.0415395,0.04612349,0.0753504,0.031473257,0.18503453
Ġstudies,0.0,0.0,0.0,0.0,0.0,0.0,0.0015645792,0.023909984,0.0,0.0,0.0,0.0,0.0,0.03177096,0.0039515,0.0,0.0,0.0,0.0023393026,0.0051214,0.0035361818,0.0,0.0789176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010015072,0.03499223,0.0,0.009799392,0.017255558,0.011367996,0.0064642834,0.0,0.0065088263,0.053888306,0.3109732,0.014597507,0.14610688,0.006737583,0.22018166
aryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046476824,0.0,0.0,0.0,0.0,0.0,0.0,0.0318736,0.0,0.0,0.0,0.090888605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024743348,0.0,0.058855534,0.029093498,0.0,0.32164478,0.0278997,0.0,0.25485033,0.0,0.14464341,0.010859488
Ġof,0.0,0.0,0.0,0.0,0.0,0.012279387,0.0024103052,0.0020163886,0.0,0.0,0.0067640357,0.0,0.018089073,0.006573477,0.008827045,0.10085019,0.0028337247,0.07275069,0.0027986893,0.011497386,0.006502818,0.01814132,0.0038895623,0.008337649,0.029167688,0.031601902,0.0029629667,0.01969262,0.01434238,0.017718606,0.018406535,0.009048721,0.032253847,0.007995118,0.015621642,0.012518073,0.039369345,0.08340944,0.016405556,0.03004332,0.015364915,0.04501511,0.16317499,0.03998287,0.07134261
