Run,Precision,Recall,F1-Score,ROC-AUC
1,0.49302343027181117,0.4929906542056075,0.4921159126589484,0.482112350517536
2,0.49249831212022704,0.4925,0.49247145151914795,0.474675
3,0.49618387687981724,0.49619391025641024,0.4961111563747579,0.4847506009615385
4,0.52,0.5200722601364913,0.5195676108497648,0.514050582095544
5,0.4673717371737174,0.4673545966228893,0.46733687191702455,0.4607004377736085
6,0.46496162404060104,0.46495461478832734,0.4649464946494649,0.4571028481408317
7,0.4644110275689223,0.4644857943177271,0.46434382118094664,0.4523059223689475
8,0.5229965680503019,0.5229591836734694,0.5224253789654634,0.509953981592637
9,0.43994399439944,0.43994399439944,0.43994399439944,0.43364336433643363
10,0.5176282051282051,0.5176004400110003,0.5173521891079143,0.5086377159428985
