,Ġsleep,Ġduring,.,ency,way,Ġthe,Ġpat,Ġo,Ġmaintenance,al,Ġupper,ĠPrevious,Ġof,aryn,ge,Ġcontributes,Ġto,Ġair,Ġloud,Ġthe,Ġpresence,Ġstudies,Ġthat,Ġsleep,Ġmechanism,way,Ġreflex,Ġan,Ġsupport,Ġupper,orers,Ġin,Ġanesthesia,Ġair,Ġof,roph,Ġap,Ġtopical,ive,Ġsn,nea,.,Ġfollowing,struct,Ob
Ġsleep,0.013141594,0.006201063,0.0,0.013711788,0.001533651,0.0021451954,0.021437852,0.0024252106,0.012716645,0.008931596,0.004408439,0.021721657,0.0055857482,0.008166989,0.0061212243,0.005775141,0.0026579255,0.0016127084,0.0008904396,0.00514296,0.0068774126,0.020817885,0.0078070653,0.009668397,0.010156678,0.002416207,0.005219299,0.0020671694,0.009107299,0.0023864752,0.009544522,0.0024829798,0.0055800276,0.0003322822,0.0026815964,0.046829715,0.014233097,0.003906734,0.012514804,0.024829362,0.01580671,0.06742684,0.018512683,0.015307877,0.53915906
Ġduring,0.0,0.04075717,0.0,0.019625584,0.004593251,0.004710165,0.04182478,0.0038768172,0.0108031025,0.010943747,0.06241394,0.0016773846,0.015757466,0.013595258,0.009437152,0.007981502,0.015017014,0.0103599625,0.0065192096,0.0029560775,0.008040334,0.032249443,0.012850881,0.013778667,0.0129123945,0.017789159,0.017573262,0.012806286,0.008565822,0.02038428,0.0127708325,0.0037426264,0.021905353,0.007643871,0.01159445,0.073319376,0.081436135,0.0125854835,0.009920972,0.113413356,0.03806378,0.025562305,0.02918732,0.03511571,0.083938286
.,0.0048511047,0.006317869,0.07430143,0.006574382,0.00063888525,0.00087722566,0.0025342368,0.0014362852,0.0023927416,0.0023187476,0.008419997,0.008437242,0.0029206937,0.008468497,0.007560907,0.0062184655,0.002681368,0.00095418026,0.002373897,0.008855358,0.009755233,0.020896869,0.012004579,0.0029779782,0.006790532,0.009889649,0.0064727673,0.014829021,0.012057151,0.010912409,0.017335799,0.012766109,0.026834413,0.00097400433,0.0076493723,0.017939985,0.006503082,0.013016594,0.008320472,0.052763157,0.013999202,0.11228718,0.013401293,0.021082167,0.40940744
ency,0.0,0.0,0.0,0.04529971,0.0038699927,0.0059322678,0.009794611,0.0014122128,0.013547191,0.0031472214,0.00791931,0.0087991785,0.011612434,0.0038959626,0.0025441295,0.012405388,0.004898296,0.0062903995,0.0027822938,0.014226264,0.007800883,0.043945864,0.020565452,0.0030053772,0.01736334,0.007923813,0.0068259994,0.0042978297,0.010967947,0.0027128416,0.022596402,0.032762934,0.015327983,0.002559322,0.007628192,0.016955929,0.01534855,0.00867481,0.002988768,0.021802386,0.011212566,0.2696049,0.022745684,0.013689991,0.25231543
way,0.0,0.0,0.0,0.0,0.07374579,0.0048994957,0.0,0.00071484037,0.032342847,0.0032784806,0.024039175,0.00045624035,0.050080333,0.0018748548,0.0014542593,0.046074487,0.0330211,0.036714647,0.002668546,0.0031402025,0.009128537,0.0030625134,0.065887116,0.0021054945,0.08776144,0.07350505,0.117413506,0.015759403,0.024369843,0.017120065,0.0031583821,0.0013874964,0.018778794,0.032985434,0.052147705,0.01319199,0.005837222,0.016930887,0.0085532125,0.0033616195,0.030166967,0.009938314,0.052737057,0.011217964,0.008988682
Ġthe,0.0,0.0,0.0,0.0,0.0,0.010953357,0.0,0.0019886352,0.0,0.007120657,0.0,0.0028998957,0.0,0.0063102976,0.0071029756,0.009978844,0.026898876,0.0,0.006998914,0.012038448,0.02797741,0.010393047,0.019231485,0.010131029,0.022179428,0.041020133,0.034275483,0.06065669,0.02304862,0.045067146,0.029640598,0.011149047,0.023041446,0.014223408,0.043571632,0.014115212,0.013949257,0.008430899,0.020456852,0.110023454,0.05644856,0.040446356,0.04613304,0.059774835,0.12232397
Ġpat,0.0,0.0,0.0,0.0,0.007387853,0.011519449,0.08378652,0.00040709623,0.0383702,0.00061472016,0.028375883,0.0006021524,0.065148585,0.0018611422,0.0011699726,0.05580111,0.039480876,0.004430935,0.00304724,0.007891508,0.03334324,0.023505062,0.052594762,0.00052051595,0.10812144,0.0014993447,0.025460402,0.027459325,0.058618803,0.020509206,0.0036103176,0.003942577,0.009243016,0.000427929,0.040210135,0.0033195126,0.0056416215,0.019892732,0.0109358495,0.0016444632,0.0023850193,0.028873045,0.060555663,0.08956558,0.018225173
Ġo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023028463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004890806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044077914,0.18645027,0.009884097,0.0,0.11127469,0.0,0.6002482,0.015027551,0.0051179547
Ġmaintenance,0.0,0.0,0.0,0.0,0.0,0.024624312,0.0,0.0019228347,0.027263295,0.002949124,0.0,0.003016984,0.0,0.0027452915,0.004968865,0.029151633,0.03608272,0.0,0.0020067329,0.03401497,0.01759266,0.03195713,0.051052716,0.002977828,0.03766091,0.02474591,0.03924891,0.037757725,0.044526197,0.0072073787,0.01722184,0.030409895,0.020263761,0.027946487,0.04713214,0.00873086,0.02981545,0.013405524,0.0031516266,0.042542305,0.025476871,0.08014774,0.07258115,0.02123336,0.09646682
al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021401804,0.0,0.060107347,0.0,0.0,0.0,0.008951484,0.025094323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02664142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555742,0.049381625,0.16518298,0.046467565,0.0,0.20197117,0.0,0.10320438,0.15794243,0.028096
