Run,Precision,Recall,F1-Score,ROC-AUC
1,0.4515322076297686,0.45079365079365075,0.44862155388471175,0.4692063492063492
2,0.4687298517085752,0.4680710994075049,0.44965603502188867,0.5240289664252799
3,0.47916666666666663,0.4799498746867168,0.47203016970458833,0.4780701754385965
4,0.48749218261413385,0.4875,0.4874199093608376,0.475
5,0.5920634920634921,0.5908521303258145,0.5869191049913942,0.6516290726817042
6,0.5381488430268918,0.5382205513784462,0.5374277230817315,0.5526315789473684
7,0.45,0.45238095238095233,0.43529411764705883,0.37587301587301586
8,0.5594121325828643,0.5633333333333334,0.5540691192865106,0.5873333333333334
9,0.5757575757575758,0.575,0.5739348370927319,0.499375
10,0.46228786926461346,0.4625,0.4617430762009075,0.483125
