Run,Precision,Recall,F1-Score,ROC-AUC
1,0.49843652282676676,0.4984126984126984,0.497171590194846,0.514920634920635
2,0.4429824561403509,0.4400921658986175,0.43316013226263583,0.4186965108624095
3,0.46875,0.4699248120300752,0.4666666666666667,0.45802005012531327
4,0.5405679513184585,0.5375000000000001,0.5285873546743112,0.5131249999999999
5,0.5131332082551594,0.513157894736842,0.5124238162212846,0.49498746867167914
6,0.47916666666666663,0.4799498746867168,0.47203016970458833,0.49561403508771923
7,0.5961538461538461,0.5857142857142857,0.5568919132774173,0.5365079365079365
8,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.5766666666666667
9,0.5767263427109974,0.575,0.5725958516656191,0.4975
10,0.5634920634920635,0.5625,0.5607843137254902,0.576875
