Run,Precision,Recall,F1-Score,ROC-AUC
1,0.4375,0.4365079365079365,0.43529411764705883,0.3682539682539682
2,0.47217010631644774,0.47070441079657666,0.4666666666666667,0.5187623436471364
3,0.41307066916823015,0.41290726817042606,0.4124081887794968,0.4216791979949875
4,0.5625390869293309,0.5625,0.5624316299421784,0.58375
5,0.4631019387116948,0.4630325814536341,0.46241600250039067,0.42042606516290726
6,0.5488721804511278,0.5488721804511278,0.5488721804511278,0.5579573934837093
7,0.562862669245648,0.5619047619047619,0.549718574108818,0.5396825396825397
8,0.48120300751879697,0.48,0.4696969696969697,0.49
9,0.5394996708360764,0.5375,0.531571451178984,0.53625
10,0.575,0.575,0.575,0.575
