Run,Precision,Recall,F1-Score,ROC-AUC
1,0.5252525252525253,0.5249999999999999,0.5238095238095238,0.514375
2,0.5,0.5,0.4987468671679198,0.46499999999999997
3,0.6023017902813299,0.6000000000000001,0.5977372721558768,0.57125
4,0.5377121307353865,0.5375,0.5368486934751995,0.5625
5,0.5125707102451289,0.5125,0.5118134877171022,0.46375
6,0.5125078173858661,0.5125,0.5124238162212846,0.49062500000000003
7,0.46247654784240155,0.4625,0.46241600250039067,0.47124999999999995
8,0.550125313283208,0.55,0.549718574108818,0.5321875
9,0.48749218261413385,0.4875,0.4874199093608376,0.519375
10,0.449874686716792,0.44999999999999996,0.44965603502188867,0.49
