Run,Precision,Recall,F1-Score,ROC-AUC
1,0.575187969924812,0.575,0.5747342088805503,0.5549999999999999
2,0.5260416666666667,0.525,0.5202020202020202,0.5262500000000001
3,0.48749218261413385,0.4875,0.4874199093608376,0.44875
4,0.5658327847267939,0.5625,0.5568919132774173,0.61625
5,0.47474747474747475,0.475,0.4736842105263158,0.43437499999999996
6,0.6023017902813299,0.6000000000000001,0.5977372721558768,0.6156250000000001
7,0.5625390869293309,0.5625,0.5624316299421784,0.5249999999999999
8,0.5875547217010632,0.5874999999999999,0.5874355368026254,0.5825
9,0.5625390869293309,0.5625,0.5624316299421784,0.50875
10,0.5628535512256443,0.5625,0.5618838992332968,0.6031250000000001
