Run,Precision,Recall,F1-Score,ROC-AUC
1,0.5153515351535154,0.5154255853683047,0.5145631067961165,0.5555220580846146
2,0.5050005000500051,0.505,0.5049876246906173,0.49544999999999995
3,0.5160905091137649,0.5160256410256411,0.515899442531871,0.511894030448718
4,0.5123503087577189,0.5123946206342834,0.5119845336636822,0.5277248093135287
5,0.492117906115504,0.49212007504690436,0.4921159126589484,0.4938586616635397
6,0.4796212329968186,0.4796579230326824,0.47953157842057853,0.468080318071566
7,0.5023505288689956,0.5023509403761505,0.5023475939506474,0.499124649859944
8,0.46624536441383485,0.4665366146458583,0.46573358165434464,0.44207683073229287
9,0.46241654372233754,0.46242124212421243,0.46241600250039067,0.4613461346134613
10,0.5402447366420917,0.5397134928373208,0.5383380168606985,0.5445886147153679
