Run,Precision,Recall,F1-Score,ROC-AUC
1,0.75,0.7604166666666667,0.7474747474747474,0.7421875
2,0.5933333333333333,0.5883838383838383,0.5725958516656191,0.6666666666666667
3,0.5,0.5,0.4987468671679198,0.5075
4,0.5416666666666666,0.540920716112532,0.5247029393370857,0.5959079283887467
5,0.5,0.5,0.474671669793621,0.6015625
6,0.5012531328320802,0.5012531328320802,0.5,0.4862155388471178
7,0.3666666666666667,0.375,0.36507936507936506,0.3275
8,0.41666666666666663,0.4197994987468672,0.41587301587301584,0.38345864661654133
9,0.5463659147869674,0.5473145780051151,0.5454545454545454,0.5831202046035806
10,0.40625,0.40909090909090906,0.39849624060150374,0.43686868686868685
