,Ġsleep,.,way,ency,Ġduring,Ġthe,Ġcontributes,al,Ġpat,Ġo,Ġupper,Ġmaintenance,Ġloud,Ġair,Ġof,Ġsleep,aryn,Ġstudies,Ġto,orers,Ġpresence,ge,Ġthe,way,Ġair,Ġan,Ġthat,ĠPrevious,Ġupper,Ġsupport,Ġmechanism,Ġanesthesia,Ġreflex,Ġin,Ġap,ive,Ġtopical,Ġof,roph,nea,.,Ġsn,Ġfollowing,struct,Ob
Ġsleep,0.020858798,0.0,0.0012868767,0.007668258,0.015620665,0.0059342273,0.0017211792,0.019883106,0.06606274,0.0023330967,0.007501373,0.010168491,0.0007384898,0.0019652068,0.012160227,0.008915775,0.012606691,0.007898248,0.0072142836,0.0035975645,0.0046999217,0.010924183,0.007136937,0.003004303,0.00077254843,0.004555635,0.008290892,0.021699516,0.004321574,0.011845886,0.008925189,0.0033927264,0.0062272395,0.0037000882,0.028804295,0.014700892,0.0045478432,0.0077538914,0.16838168,0.0054472485,0.020475378,0.06524319,0.018093005,0.006172106,0.3467485
.,0.0058221426,0.039308712,0.001448411,0.015972039,0.014166145,0.0027731443,0.0068492647,0.0020553567,0.008276098,0.002145168,0.014285693,0.0050120656,0.0017300915,0.0015811406,0.007957619,0.0028075157,0.014183482,0.007464074,0.012413733,0.008120686,0.01608982,0.020384941,0.012446272,0.03613367,0.0019295431,0.034654666,0.029184323,0.008689402,0.023501571,0.011429616,0.017039746,0.017902328,0.023037503,0.009468778,0.007964184,0.0061422605,0.007168746,0.04207624,0.037822958,0.011527409,0.07488096,0.10550446,0.014504683,0.03255894,0.22358441
way,0.0,0.0,0.04758609,0.0,0.0,0.0080346,0.03289899,0.0017313615,0.0,0.0012408181,0.018102838,0.022008372,0.0017679296,0.022093548,0.047364913,0.0011891559,0.0025885804,0.002708674,0.044187043,0.0035685652,0.0076992842,0.0016953705,0.00443268,0.055114027,0.019283231,0.015214217,0.074799865,0.0025753095,0.010242174,0.02808193,0.124002635,0.014073924,0.15540862,0.0017628057,0.0064782994,0.012696589,0.015861873,0.0670234,0.010891432,0.021154832,0.0046171704,0.0063838535,0.04591583,0.019020008,0.018499209
ency,0.0,0.0,0.0026327353,0.026835468,0.0,0.013953141,0.0066045024,0.0046019135,0.01110704,0.0021781903,0.006879061,0.010475275,0.0023639074,0.005105665,0.015906623,0.0024489223,0.006664147,0.025801599,0.009756123,0.011272018,0.004936751,0.0022747538,0.027341714,0.0064226473,0.0026597306,0.0050748996,0.033389032,0.016992886,0.0027324965,0.013871153,0.016646305,0.012074233,0.0062824404,0.04345783,0.014228097,0.0036290416,0.010676484,0.013681259,0.036550168,0.0052147005,0.1139385,0.07178281,0.033089552,0.004959146,0.333507
Ġduring,0.0,0.0,0.0017158038,0.014850524,0.047158673,0.0049929465,0.002201453,0.010427739,0.05775577,0.0083745085,0.056194365,0.005012237,0.003211014,0.0040678983,0.01234931,0.0071430476,0.013377848,0.0093839085,0.017620007,0.008451093,0.004992151,0.016925182,0.0018093393,0.014522303,0.006895954,0.01658131,0.0065451167,0.0061507267,0.04031747,0.005753971,0.011539453,0.020288862,0.022920437,0.0037814719,0.091697834,0.0085404115,0.0119071435,0.026928408,0.12450887,0.020523619,0.013425194,0.12447975,0.01650887,0.042516127,0.05565178
Ġthe,0.0,0.0,0.0,0.0,0.0,0.016129944,0.004757638,0.0039115786,0.0,0.001476723,0.0,0.0,0.0030179666,0.0,0.0,0.002828969,0.005038397,0.010258019,0.04008021,0.02068099,0.022252917,0.0075868787,0.008726948,0.030357104,0.0039726635,0.053187232,0.016245333,0.010282271,0.03279024,0.023587627,0.023741398,0.023621112,0.045967855,0.0071230936,0.010109041,0.013558159,0.004572625,0.08233568,0.0151152415,0.037939824,0.038269233,0.13893351,0.024325388,0.04994008,0.16727817
Ġcontributes,0.0,0.0,0.0,0.0,0.0,0.0,0.049395572,0.0028594218,0.0,0.0074230675,0.0,0.0,0.0021372873,0.0,0.0,0.0015232291,0.0064331344,0.046419006,0.0,0.0331928,0.022908919,0.0032548166,0.036893245,0.00546124,0.0023548477,0.014359887,0.02510011,0.026783556,0.012258079,0.021099813,0.032584947,0.02344857,0.022062903,0.048030414,0.008767057,0.010633973,0.005739381,0.020129142,0.00585619,0.023937631,0.3462695,0.027539862,0.024240533,0.00793908,0.07296274
al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050647587,0.0,0.018475015,0.0,0.0,0.0,0.0,0.0,0.010627711,0.0041762264,0.0,0.0,0.0,0.0,0.022294724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531235,0.025061503,0.12907124,0.0,0.12424116,0.112755574,0.0,0.0,0.08282009,0.3369165,0.02978913
Ġpat,0.0,0.0,0.0031764943,0.0,0.0,0.015306329,0.043208346,0.00077127817,0.09221845,0.00053257385,0.02361576,0.071021535,0.0037776672,0.004637386,0.054065775,0.00012855935,0.00092618755,0.035137843,0.04903026,0.0044678594,0.060810152,0.0005476057,0.0077933017,0.001747872,0.0006009138,0.020944206,0.044627566,0.0019137055,0.010613652,0.069883935,0.13886668,0.011159115,0.03686675,0.007051423,0.006376268,0.014124088,0.021683134,0.06355161,0.0038465175,0.0016919989,0.005316566,0.003416998,0.056914784,0.005042221,0.002586689
Ġo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019155415,0.0,0.0,0.0,0.0,0.0,0.0030531387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037759256,0.007669572,0.21506108,0.0,0.0,0.104379274,0.0,0.0,0.568315,0.042335406,0.0022718003
